dispatch_id,date_id,campaign_id,customer_id,clicked_link
1001,20250209,52,3778,False
1002,20220823,56,1501,False
1003,20220714,56,2254,True
1004,20220806,56,475,True
1005,20250311,53,4671,True
1006,20240508,50,2140,False
1007,20241216,55,4618,False
1008,20250225,52,3991,False
1009,20240403,50,2927,True
1010,20250217,52,896,True
1011,20240408,50,4288,True
1012,20250225,52,2760,False
1013,20250319,53,4108,False
1014,20241117,55,2415,False
1015,20230405,54,2126,False
1016,20250324,53,2849,False
1017,20240506,51,2809,True
1018,20250226,52,3983,True
1019,20250218,52,1552,False
1020,20220822,56,3165,True
1021,20240507,51,4779,True
1022,20241121,55,4343,False
1023,20220817,56,313,True
1024,20220709,56,889,True
1025,20241122,55,3137,False
1026,20230327,54,3757,False
1027,20230401,54,1590,False
1028,20230320,54,2167,False
1029,20230404,54,2467,False
1030,20220807,56,2543,False
1031,20250215,52,3144,False
1032,20230406,54,1885,False
1033,20250319,53,2462,True
1034,20240409,51,4116,False
1035,20230314,54,1906,False
1036,20240423,51,805,False
1037,20240428,51,3566,False
1038,20241112,55,4752,False
1039,20240411,51,346,True
1040,20250309,53,3714,True
1041,20230325,54,1980,True
1042,20240501,51,1131,False
1043,20250227,52,2842,False
1044,20240410,50,3587,True
1045,20240330,50,407,False
1046,20240425,51,3704,False
1047,20230406,54,3999,True
1048,20240404,50,3511,True
1049,20220810,56,2087,True
1050,20220727,56,1274,True
1051,20250208,52,791,True
1052,20230329,54,2049,False
1053,20250217,52,2346,True
1054,20240416,50,4445,True
1055,20241202,55,3119,True
1056,20220721,56,4985,False
1057,20241106,55,137,True
1058,20230331,54,3862,True
1059,20220722,56,4103,True
1060,20241101,55,2376,True
1061,20240508,50,3488,False
1062,20230329,54,4818,False
1063,20240410,51,3873,True
1064,20240313,50,2080,True
1065,20240313,50,3816,False
1066,20230331,54,3797,True
1067,20250309,53,4214,False
1068,20230328,54,4896,True
1069,20241207,55,2988,False
1070,20241119,55,3347,True
1071,20220811,56,3546,True
1072,20241119,55,3497,True
1073,20240414,51,2510,True
1074,20241109,55,3101,False
1075,20240429,51,866,True
1076,20241102,55,649,True
1077,20250214,52,4811,True
1078,20250427,53,3366,False
1079,20240330,51,1711,True
1080,20230405,54,1089,False
1081,20230319,54,129,False
1082,20230327,54,2755,False
1083,20230323,54,713,False
1084,20240418,51,250,True
1085,20240424,51,926,False
1086,20230402,54,1702,True
1087,20240418,51,3971,False
1088,20220803,56,448,False
1089,20250212,52,2708,False
1090,20240403,51,1025,False
1091,20250220,52,398,False
1092,20230317,54,701,True
1093,20220807,56,4204,True
1094,20230329,54,3019,False
1095,20230403,54,2210,False
1096,20240416,51,3642,True
1097,20250209,52,3699,False
1098,20240325,50,1492,True
1099,20230320,54,390,True
1100,20241119,55,1266,False
1101,20240401,50,1438,True
1102,20240327,51,1880,True
1103,20241110,55,4056,True
1104,20240326,50,1290,False
1105,20240414,51,813,True
1106,20230330,54,4810,True
1107,20220829,56,1493,False
1108,20230318,54,3781,True
1109,20250408,53,4738,True
1110,20240422,51,2828,False
1111,20240408,50,3157,False
1112,20250215,52,3302,True
1113,20230317,54,1841,False
1114,20241127,55,472,True
1115,20240503,50,2000,True
1116,20230315,54,687,True
1117,20230318,54,387,True
1118,20250227,52,2797,False
1119,20240318,50,1651,False
1120,20240416,51,831,False
1121,20240323,50,2622,False
1122,20250319,53,3706,True
1123,20220801,56,4259,True
1124,20250219,52,4844,True
1125,20240420,50,431,True
1126,20250423,53,1489,True
1127,20240321,50,2793,False
1128,20240321,50,1021,True
1129,20250331,53,4664,False
1130,20220716,56,623,True
1131,20220706,56,2127,True
1132,20250221,52,3332,False
1133,20240409,50,3864,True
1134,20240428,51,1009,True
1135,20250215,52,1000,True
1136,20250409,53,3455,False
1137,20240326,50,3762,True
1138,20250225,52,4359,False
1139,20230330,54,1620,True
1140,20240404,50,4457,True
1141,20230331,54,2009,False
1142,20250208,52,2465,False
1143,20241106,55,3718,False
1144,20241216,55,2406,False
1145,20240425,50,2022,True
1146,20250417,53,4359,True
1147,20240426,51,649,False
1148,20220722,56,2871,True
1149,20250228,52,4578,True
1150,20240423,51,3027,False
1151,20250427,53,4912,False
1152,20250211,52,3832,False
1153,20230401,54,636,False
1154,20230402,54,3493,False
1155,20240416,51,1217,True
1156,20240507,51,2556,True
1157,20250308,53,1338,True
1158,20250404,53,4762,False
1159,20240327,51,1473,False
1160,20250211,52,2641,True
1161,20240416,50,828,False
1162,20240508,50,1012,True
1163,20240404,50,879,True
1164,20220710,56,2567,False
1165,20220703,56,4789,False
1166,20250329,53,2242,False
1167,20230316,54,769,True
1168,20230329,54,2112,True
1169,20220713,56,988,False
1170,20250420,53,1259,False
1171,20250228,52,1586,True
1172,20220717,56,1669,False
1173,20241118,55,3869,False
1174,20250227,52,953,False
1175,20241105,55,3054,False
1176,20250218,52,2684,True
1177,20240319,50,608,False
1178,20220714,56,3874,False
1179,20240427,51,3019,False
1180,20241113,55,1654,True
1181,20220708,56,26,True
1182,20220714,56,3417,False
1183,20230318,54,4910,False
1184,20240316,50,4132,True
1185,20220823,56,1124,True
1186,20241217,55,1626,True
1187,20241217,55,1624,True
1188,20230328,54,1560,False
1189,20240406,51,3390,False
1190,20250413,53,2146,True
1191,20240418,50,4598,True
1192,20230316,54,41,True
1193,20220715,56,3739,False
1194,20240323,50,3470,False
1195,20241126,55,2411,False
1196,20240407,50,4182,False
1197,20250313,53,1592,False
1198,20250315,53,683,True
1199,20220728,56,216,True
1200,20220719,56,3115,False
1201,20230405,54,4014,False
1202,20220719,56,2561,False
1203,20250315,53,1447,False
1204,20220801,56,3970,False
1205,20230319,54,1815,True
1206,20220707,56,4058,True
1207,20250411,53,303,False
1208,20250218,52,441,True
1209,20240401,51,3928,True
1210,20250412,53,1457,False
1211,20250213,52,3972,True
1212,20220802,56,965,True
1213,20240422,51,1615,True
1214,20250222,52,2900,True
1215,20240422,51,2031,False
1216,20220710,56,949,True
1217,20250223,52,335,True
1218,20240420,51,2117,True
1219,20250209,52,3838,False
1220,20240505,51,663,False
1221,20241213,55,1413,True
1222,20240425,51,3889,True
1223,20241208,55,867,False
1224,20241130,55,4015,True
1225,20220719,56,1057,True
1226,20220819,56,1701,False
1227,20240505,51,3018,True
1228,20250211,52,3558,True
1229,20250214,52,1394,True
1230,20220714,56,2313,False
1231,20230316,54,4531,True
1232,20240413,50,510,True
1233,20241207,55,3236,False
1234,20220818,56,187,True
1235,20240403,51,3212,False
1236,20250222,52,1499,True
1237,20220704,56,4874,False
1238,20220821,56,1537,True
1239,20250213,52,3691,False
1240,20241210,55,4948,False
1241,20240322,50,3645,True
1242,20240425,51,3216,True
1243,20250213,52,3489,False
1244,20220806,56,4921,True
1245,20241123,55,1569,False
1246,20241117,55,3063,False
1247,20220825,56,1737,True
1248,20240506,51,69,True
1249,20230328,54,3768,True
1250,20240403,51,3296,True
1251,20250417,53,3330,False
1252,20220708,56,1320,False
1253,20220715,56,3301,True
1254,20240427,51,538,False
1255,20220729,56,3347,True
1256,20230405,54,2358,True
1257,20250308,53,563,True
1258,20240413,51,1013,True
1259,20240508,50,3552,True
1260,20241121,55,4433,True
1261,20250219,52,4921,False
1262,20240316,50,4608,True
1263,20250326,53,4630,True
1264,20240401,51,4332,True
1265,20240403,51,1752,False
1266,20230328,54,2723,False
1267,20241123,55,3882,False
1268,20250217,52,1644,False
1269,20220810,56,645,False
1270,20240411,51,3983,False
1271,20240423,51,2170,False
1272,20250416,53,4927,True
1273,20250326,53,1977,False
1274,20240406,51,3369,True
1275,20230324,54,676,True
1276,20250224,52,4182,False
1277,20230404,54,3338,True
1278,20230324,54,2567,False
1279,20220805,56,1058,False
1280,20240329,51,2677,False
1281,20250411,53,4267,False
1282,20230329,54,3341,False
1283,20230316,54,2663,False
1284,20240418,51,4360,False
1285,20250209,52,371,True
1286,20240414,51,3345,True
1287,20250208,52,3976,False
1288,20220712,56,1997,True
1289,20241129,55,232,False
1290,20250328,53,3870,False
1291,20230331,54,1381,False
1292,20240328,50,1437,True
1293,20230406,54,2101,True
1294,20240410,51,1769,True
1295,20250310,53,801,False
1296,20250308,53,887,False
1297,20240326,50,1252,False
1298,20250328,53,3640,False
1299,20240331,50,3553,True
1300,20241108,55,4778,True
1301,20250329,53,1345,False
1302,20230402,54,2823,False
1303,20250309,53,2883,True
1304,20240419,51,3576,False
1305,20250218,52,1641,False
1306,20230326,54,1460,True
1307,20240427,50,2915,False
1308,20250428,53,2487,False
1309,20240414,50,2593,True
1310,20240426,50,4786,False
1311,20230314,54,4016,True
1312,20220830,56,889,False
1313,20250420,53,4822,False
1314,20241111,55,3100,False
1315,20241208,55,4814,False
1316,20250226,52,2799,True
1317,20250422,53,352,True
1318,20240428,51,913,True
1319,20250209,52,3452,True
1320,20240411,50,4058,False
1321,20240330,51,1964,False
1322,20250415,53,4116,False
1323,20220829,56,2686,False
1324,20250216,52,641,True
1325,20240505,50,2448,False
1326,20240328,51,4402,True
1327,20250208,52,2866,True
1328,20230329,54,4845,True
1329,20240401,50,4128,True
1330,20220827,56,1063,True
1331,20250208,52,1801,True
1332,20241126,55,3425,False
1333,20230403,54,1075,True
1334,20240408,51,4599,True
1335,20250207,52,1578,True
1336,20250213,52,331,False
1337,20240406,51,27,False
1338,20241130,55,3853,False
1339,20240428,51,4774,True
1340,20220810,56,1511,False
1341,20240429,50,4008,True
1342,20220820,56,1838,True
1343,20240325,50,783,False
1344,20250313,53,1007,False
1345,20250411,53,1244,False
1346,20230324,54,4029,False
1347,20241105,55,1188,False
1348,20230404,54,3086,False
1349,20230321,54,4196,True
1350,20250416,53,4863,True
1351,20230331,54,3031,True
1352,20240320,50,2388,False
1353,20220704,56,247,True
1354,20240423,51,3727,False
1355,20220802,56,4360,False
1356,20240407,50,2705,False
1357,20250221,52,4838,True
1358,20240402,51,851,True
1359,20250217,52,3116,True
1360,20220730,56,1846,True
1361,20220811,56,3256,True
1362,20240409,51,4383,True
1363,20230406,54,496,True
1364,20250208,52,699,True
1365,20250228,52,496,True
1366,20250209,52,4498,False
1367,20250208,52,1386,True
1368,20240317,50,4569,True
1369,20250321,53,4679,False
1370,20240506,51,4516,False
1371,20230326,54,3763,True
1372,20240327,50,2973,True
1373,20220812,56,2011,True
1374,20241115,55,962,False
1375,20250330,53,4727,False
1376,20240313,50,1720,False
1377,20230323,54,4890,True
1378,20240321,50,1248,True
1379,20240314,50,2862,False
1380,20240413,50,4592,False
1381,20220713,56,3277,True
1382,20240329,51,2125,True
1383,20220819,56,3228,False
1384,20250208,52,4036,True
1385,20250323,53,2554,True
1386,20240331,50,2932,False
1387,20241117,55,4281,True
1388,20240502,50,3502,False
1389,20250226,52,4091,True
1390,20220730,56,822,False
1391,20230316,54,2139,True
1392,20240506,51,2091,True
1393,20250501,53,1088,True
1394,20240505,51,2303,True
1395,20240417,51,3204,False
1396,20250418,53,4707,True
1397,20240330,51,618,False
1398,20250217,52,374,True
1399,20240507,51,295,False
1400,20220710,56,2742,True
1401,20241203,55,4390,False
1402,20220731,56,1525,True
1403,20240404,50,4819,True
1404,20220729,56,3249,True
1405,20240506,50,182,False
1406,20250331,53,3406,True
1407,20250214,52,4513,False
1408,20240405,50,171,True
1409,20250311,53,2080,True
1410,20250215,52,1369,False
1411,20250216,52,4701,False
1412,20220708,56,3304,False
1413,20230315,54,81,True
1414,20230329,54,996,False
1415,20241127,55,2521,True
1416,20250421,53,2638,True
1417,20240426,50,3431,False
1418,20240327,51,2579,False
1419,20250214,52,1617,False
1420,20240507,51,4155,False
1421,20250217,52,3232,False
1422,20250428,53,3612,False
1423,20250309,53,1807,False
1424,20220702,56,4119,True
1425,20240423,50,981,False
1426,20241214,55,4826,False
1427,20220703,56,3086,True
1428,20240506,51,1252,False
1429,20220817,56,4300,False
1430,20240501,51,312,True
1431,20230402,54,1922,False
1432,20250218,52,2653,True
1433,20240410,51,160,False
1434,20230316,54,2278,False
1435,20230402,54,331,False
1436,20241115,55,1641,True
1437,20250416,53,4812,False
1438,20240421,50,2016,False
1439,20250228,52,1727,False
1440,20241203,55,378,False
1441,20250214,52,1268,False
1442,20250429,53,191,False
1443,20220727,56,3456,False
1444,20241115,55,2385,False
1445,20250221,52,4057,True
1446,20230324,54,992,False
1447,20250220,52,888,True
1448,20250214,52,1193,False
1449,20240420,50,836,True
1450,20250421,53,1555,True
